U_mL,Log_Conc_U_mL,Mean_OD
18.99213731044359,1.27857384150902,0.12
NA,NA,0.0565
NA,NA,0.054
NA,NA,0.056
NA,NA,0.057
NA,NA,0.0565
1.592116862283941,0.201974942033796,0.065
1.1241445706170348,0.0508221672683976,0.0635
7.562435333077636,0.878661673993402,0.084
NA,NA,0.053
NA,NA,0.0525
NA,NA,0.0515
NA,NA,0.062
NA,NA,0.059
NA,NA,0.0545
NA,NA,0.0625
NA,NA,0.054
2.686825181685955,0.429239409976516,0.0685
NA,NA,0.0585
NA,NA,0.053
NA,NA,0.055
NA,NA,0.055
5.985794033263998,0.777121769010046,0.079
6.143312498384284,0.78840260759891,0.0795
NA,NA,0.055
NA,NA,0.0615
NA,NA,0.0595
NA,NA,0.0525
NA,NA,0.056
NA,NA,0.0575
NA,NA,0.0585
1.7482890962149105,0.242613248956062,0.0655
NA,NA,0.0535
NA,NA,0.055
NA,NA,0.0525
NA,NA,0.052
NA,NA,0.053
NA,NA,0.0585
1.4360299831141303,0.15716350770926,0.0645
NA,NA,0.061
